Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,45,28.6,4.39,162,6132,5494,711,1404,248,22,158,673,71,45,511,1022,.256,.322,.395,.716,83,2170,135,43,41,42,24,1097
Arizona Diamondbacks,43,30.0,5.60,162,6415,5658,908,1566,289,46,216,865,137,39,588,1045,.277,.347,.459,.805,101,2595,94,48,61,60,52,1169
Atlanta Braves,44,29.6,5.19,162,6351,5569,840,1481,309,23,197,791,148,66,608,962,.266,.341,.436,.777,96,2427,120,53,74,47,62,1155
Baltimore Orioles,43,32.5,5.25,162,6409,5637,851,1572,299,21,203,804,107,46,615,890,.279,.353,.447,.800,108,2522,146,61,41,55,34,1241
Boston Red Sox,48,28.8,5.16,162,6321,5579,836,1551,334,42,176,808,67,39,597,928,.278,.350,.448,.798,99,2497,131,55,34,56,27,1213
Chicago Cubs,47,31.2,4.61,162,6201,5482,747,1411,255,35,189,717,60,44,571,1170,.257,.329,.420,.749,91,2303,120,39,65,44,38,1130
Chicago White Sox,40,25.8,4.80,162,6264,5644,777,1563,298,37,162,742,110,50,499,810,.277,.337,.429,.766,94,2421,138,34,40,45,22,1157
Cincinnati Reds,35,28.3,5.31,163,6378,5649,865,1536,312,37,209,820,164,54,569,1125,.272,.341,.451,.792,96,2549,107,45,70,44,37,1168
Cleveland Indians,51,29.0,6.23,162,6554,5634,1009,1629,309,32,209,960,147,50,743,1099,.289,.373,.467,.840,111,2629,136,55,54,67,41,1234
Colorado Rockies,44,29.7,5.59,162,6369,5717,906,1644,305,39,223,863,70,43,508,863,.288,.348,.472,.819,87,2696,125,43,54,46,31,1144
Detroit Tigers,41,27.5,4.64,161,6096,5481,747,1433,289,34,212,704,108,70,458,1049,.261,.326,.443,.768,95,2426,108,82,35,39,19,1061
Florida Marlins,44,25.2,4.27,162,6216,5578,691,1465,266,44,128,655,92,46,479,1145,.263,.325,.395,.719,87,2203,119,59,44,56,30,1159
Houston Astros,38,29.8,5.08,162,6403,5485,823,1463,293,23,168,784,166,75,728,1138,.267,.355,.420,.775,97,2306,127,52,79,58,57,1252
Kansas City Royals,50,26.9,5.32,161,6325,5624,856,1584,294,52,151,800,127,39,535,932,.282,.348,.433,.781,98,2435,156,64,46,56,25,1165
Los Angeles Dodgers,43,29.2,4.90,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,.266,.339,.420,.760,96,2340,109,52,74,51,34,1173
Milwaukee Brewers,44,28.1,5.06,161,6433,5582,815,1524,299,30,165,777,81,33,658,1065,.273,.353,.426,.779,98,2378,110,55,87,51,44,1276
Minnesota Twins,37,26.7,4.26,161,6124,5495,686,1450,285,30,105,643,118,60,500,978,.264,.328,.384,.712,79,2110,151,49,24,56,28,1118
Montreal Expos,44,25.9,4.43,162,6151,5559,718,1473,320,47,163,680,70,51,438,939,.265,.323,.427,.751,91,2376,138,53,71,28,39,1094
New York Mets,45,30.1,5.23,163,6454,5572,853,1553,297,14,181,814,150,61,717,994,.279,.363,.434,.797,104,2421,149,48,63,54,53,1267
New York Yankees,39,31.0,5.56,162,6416,5568,900,1568,302,36,193,855,104,57,718,978,.282,.366,.453,.819,110,2521,137,55,22,53,47,1244
Oakland Athletics,42,28.7,5.51,162,6442,5519,893,1430,287,20,235,845,70,37,770,1129,.259,.355,.446,.801,109,2462,129,71,39,41,32,1246
Philadelphia Phillies,41,28.2,5.19,162,6386,5598,841,1539,302,44,161,797,125,35,631,1081,.275,.351,.431,.782,94,2412,127,46,70,41,37,1221
Pittsburgh Pirates,45,28.3,4.81,161,6234,5468,775,1417,282,40,171,735,112,44,573,1197,.259,.334,.419,.753,89,2292,111,60,87,45,40,1157
San Diego Padres,41,29.7,4.38,162,6136,5394,710,1360,256,22,153,671,174,67,631,1169,.252,.332,.393,.725,90,2119,132,35,36,40,31,1139
Seattle Mariners,51,29.2,5.30,162,6310,5572,859,1499,263,21,244,825,130,45,610,1095,.269,.343,.455,.798,100,2536,114,42,38,48,38,1147
San Francisco Giants,35,30.2,5.38,162,6449,5563,872,1507,307,18,188,828,109,56,696,1028,.271,.356,.434,.790,104,2414,129,60,87,42,40,1230
St. Louis Cardinals,42,28.6,5.02,161,6354,5570,809,1461,274,27,194,763,134,48,613,1202,.262,.338,.426,.764,92,2371,110,51,75,44,51,1188
Tampa Bay Devil Rays,46,30.1,4.77,162,6272,5586,772,1531,272,29,145,728,73,49,544,1042,.274,.343,.411,.754,92,2296,157,64,30,48,24,1169
Texas Rangers,38,30.7,5.83,162,6389,5651,945,1653,304,29,230,897,111,54,611,937,.293,.361,.479,.840,109,2705,147,29,35,62,41,1176
Toronto Blue Jays,53,28.3,5.45,162,6370,5642,883,1580,337,14,212,856,119,48,578,1077,.280,.352,.457,.810,105,2581,129,76,28,45,29,1177
League Average,40,28.9,5.08,162,6323,5571,823,1511,291,31,184,782,114,51,596,1037,.271,.345,.434,.778,97,2417,128,53,53,49,37,1179