Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,44,4.29,.697,162,1458,1161,13455.0,6293,4485,1733,75,135,.988,38,3,69,0,-7
Atlanta Braves,43,3.38,.700,162,1458,1091,13053.0,6116,4351,1680,85,141,.986,62,6,38,1,-2
Baltimore Orioles,52,4.38,.701,162,1458,1204,13077.0,6027,4359,1614,54,165,.991,19,2,26,0,1
Boston Red Sox,48,4.05,.694,162,1458,1121,13086.0,5958,4362,1516,80,142,.987,21,2,22,0,-1
Chicago Cubs,56,4.25,.706,162,1458,1187,13032.0,6046,4344,1602,100,129,.983,22,2,-2,0,0
Chicago White Sox,47,4.46,.687,162,1458,1110,13095.0,6041,4365,1555,121,155,.980,-64,-6,-59,-2,-7
Cincinnati Reds,39,3.64,.715,162,1458,1122,13263.0,6140,4421,1643,76,131,.988,89,8,28,0,4
Cleveland Indians,48,4.09,.683,162,1458,1149,12972.0,5925,4324,1503,98,135,.983,-14,-1,-31,-1,-6
Colorado Rockies,43,4.69,.674,162,1458,1152,12924.0,6253,4308,1855,90,162,.986,-7,-1,-34,0,2
Detroit Tigers,39,3.85,.682,162,1458,1090,13164.0,5972,4388,1508,76,136,.987,-53,-5,-72,-1,-2
Houston Astros,50,5.23,.679,162,1458,1124,12960.0,6080,4320,1635,125,168,.979,-69,-6,-52,-1,7
Kansas City Royals,43,3.71,.698,162,1458,1154,13035.0,5950,4345,1520,85,136,.986,55,5,67,1,6
Los Angeles Angels of Anaheim,49,4.55,.683,162,1458,1135,13119.0,5985,4373,1500,112,135,.981,-44,-4,-86,-5,-9
Los Angeles Dodgers,49,3.59,.692,162,1458,1058,13053.0,6183,4351,1723,109,160,.982,27,2,20,1,1
Miami Marlins,52,3.99,.695,162,1458,1198,13140.0,6156,4381,1687,88,144,.986,10,1,-10,0,-2
Milwaukee Brewers,40,4.24,.697,162,1458,1137,12984.0,6070,4328,1628,114,153,.981,19,2,44,0,0
Minnesota Twins,44,4.86,.679,162,1458,1155,13053.0,6155,4351,1723,81,178,.987,-43,-4,-43,0,-1
New York Mets,53,4.22,.691,162,1458,1108,13290.0,6165,4430,1642,93,127,.985,-34,-3,-24,-1,-6
New York Yankees,55,4.14,.687,162,1458,1128,13026.0,5955,4342,1544,69,139,.988,-22,-2,24,-1,-2
Oakland Athletics,44,3.86,.708,162,1458,1094,13068.0,5830,4356,1377,97,112,.983,-7,-1,-63,-1,-2
Philadelphia Phillies,51,4.62,.679,162,1458,1123,12927.0,6020,4309,1614,97,141,.984,-49,-5,-93,-1,3
Pittsburgh Pirates,49,3.56,.698,162,1458,1042,13236.0,6442,4412,1924,106,154,.984,18,2,45,1,4
San Diego Padres,47,4.32,.696,162,1458,1006,13095.0,6146,4365,1698,83,140,.986,19,2,-4,1,4
Seattle Mariners,47,4.65,.683,162,1458,1144,13185.0,6128,4395,1645,88,149,.986,-53,-5,-99,-3,-7
San Francisco Giants,44,4.27,.689,162,1458,1074,13026.0,5986,4342,1537,107,128,.982,39,4,5,0,-4
St. Louis Cardinals,44,3.68,.691,162,1458,1031,13137.0,6172,4379,1718,75,177,.988,14,1,-38,1,3
Tampa Bay Rays,41,3.96,.707,163,1467,1042,13176.0,6044,4392,1593,59,147,.990,13,1,30,1,6
Texas Rangers,45,3.90,.693,163,1467,1138,13170.0,6025,4390,1549,86,146,.986,54,5,29,0,-2
Toronto Blue Jays,53,4.67,.690,162,1458,1114,13068.0,6072,4356,1605,111,145,.982,-39,-4,12,0,1
Washington Nationals,44,3.86,.691,162,1458,1169,13011.0,5993,4337,1549,107,146,.982,-3,0,-17,0,9
League Average,43,4.17,.692,162,1459,1119,13096,6078,4365,1621,92,145,.985,1,0,-9,0,-0